currency pair id,last trade price,lowest ask,highest bid,percent change in last 24 hours,base currency volume in last 24 hours,quote currency volume in last 24 hours,is frozen,highest trade price in last 24 hours,lowest trade price in last 24 hours,post only,maintenance mode,timestamp
149,2427.37909858,2427.16202580,2425.08823872,0.07931622,20040457.81233055,8535.25206208,0,2475.03247464,2180.81000000,0,0,1622409287.6394312
121,35996.62084174,35997.45437738,35982.67773343,0.04908234,32520368.59412784,922.03605826,0,36469.61260000,33400.00000000,0,0,1622409288.5259106
149,2427.37909858,2426.82226190,2425.29622970,0.07931622,20040457.81233055,8535.25206208,0,2475.03247464,2180.81000000,0,0,1622409288.5263
121,35996.62084174,35995.65487408,35982.67774344,0.04908234,32520368.59412784,922.03605826,0,36469.61260000,33400.00000000,0,0,1622409289.3345459
149,2427.37909858,2426.70095893,2424.74970633,0.07931622,20040457.81233055,8535.25206208,0,2475.03247464,2180.81000000,0,0,1622409289.4296625
121,35996.62084174,35993.45697420,35984.47725674,0.04908234,32520368.59412784,922.03605826,0,36469.61260000,33400.00000000,0,0,1622409290.237274
149,2427.37909858,2426.45838638,2424.87099261,0.07931622,20040457.81233055,8535.25206208,0,2475.03247464,2180.81000000,0,0,1622409290.2377963
121,35996.62084174,35989.50344512,35984.47725674,0.04908234,32520368.59412784,922.03605826,0,36469.61260000,33400.00000000,0,0,1622409291.121431
149,2427.37909858,2426.45838637,2424.99228584,0.07931622,20040457.81233055,8535.25206208,0,2475.03247464,2180.81000000,0,0,1622409291.1219115
121,35996.62084174,35987.70409560,35986.27660626,0.04908234,32520368.59412784,922.03605826,0,36469.61260000,33400.00000000,0,0,1622409291.9376514
149,2427.37909858,2426.33710010,2425.11357907,0.07931622,20040457.81233055,8535.25206208,0,2475.03247464,2180.81000000,0,0,1622409291.9381633
121,35996.62084174,35987.62902689,35986.27660626,0.04908234,32520368.59412784,922.03605826,0,36469.61260000,33400.00000000,0,0,1622409292.729008
149,2427.37909858,2426.33710010,2425.23486534,0.07931622,20040457.81233055,8535.25206208,0,2475.03247464,2180.81000000,0,0,1622409292.7294319
121,35996.62084174,35986.27660627,35976.28447153,0.04908234,32520368.59412784,922.03605826,0,36469.61260000,33400.00000000,0,0,1622409293.424272
121,35996.62084174,35984.71862317,35978.08353556,0.04908234,32520368.59412784,922.03605826,0,36469.61260000,33400.00000000,0,0,1622409294.1350045
149,2427.37909858,2426.33710010,2425.23487535,0.07931622,20040457.81233055,8535.25206208,0,2475.03247464,2180.81000000,0,0,1622409294.1354487
121,35996.62084174,35982.91955312,35979.88261561,0.04908234,32520368.59412784,922.03605826,0,36469.61260000,33400.00000000,0,0,1622409294.934056
149,2427.37909858,2426.33710010,2425.23488536,0.07931622,20040457.81233055,8535.25206208,0,2475.03247464,2180.81000000,0,0,1622409295.024679
149,2427.37909858,2426.33710010,2425.23490537,0.07931622,20040457.81233055,8535.25206208,0,2475.03247464,2180.81000000,0,0,1622409295.732024
149,2427.37909858,2426.33710010,2425.23491538,0.07931622,20040457.81233055,8535.25206208,0,2475.03247464,2180.81000000,0,0,1622409296.4331102
121,35996.62084174,35982.91955311,35979.88261561,0.04908234,32520368.59412784,922.03605826,0,36469.61260000,33400.00000000,0,0,1622409297.2266638
149,2426.33710010,2426.33710010,2425.35619467,0.07886710,20040457.81233055,8535.25206208,0,2475.03247464,2180.81000000,0,0,1622409297.2271879
149,2426.33710010,2426.33710010,2425.47749701,0.07886710,20040457.81233055,8535.25206208,0,2475.03247464,2180.81000000,0,0,1622409297.7283013
149,2426.33710010,2426.33710010,2425.59879238,0.07886710,20040457.81233055,8535.25206208,0,2475.03247464,2180.81000000,0,0,1622409298.3470988
149,2426.33710010,2427.56716246,2425.72009079,0.07886710,20040457.81233055,8535.25206208,0,2475.03247464,2180.81000000,0,0,1622409299.047221
121,35982.91955311,35982.91955311,35979.88261561,0.04868303,32520368.59412784,922.03605826,0,36469.61260000,33400.00000000,0,0,1622409299.747209
149,2426.33710010,2427.44583026,2425.72010079,0.07886710,20040457.81233055,8535.25206208,0,2475.03247464,2180.81000000,0,0,1622409299.8507142
121,35982.91955311,35984.71862317,35979.88261561,0.04868303,32520368.59412784,922.03605826,0,36469.61260000,33400.00000000,0,0,1622409300.4521956
149,2426.33710010,2427.32450111,2425.84142690,0.07886710,20040457.81233055,8535.25206208,0,2475.03247464,2180.81000000,0,0,1622409300.4524796
121,35982.91955311,35982.91955310,35979.88261561,0.04868303,32520368.59412784,922.03605826,0,36469.61260000,33400.00000000,0,0,1622409301.139314
149,2426.33710010,2427.32450111,2425.84143691,0.07886710,20040457.81233055,8535.25206208,0,2475.03247464,2180.81000000,0,0,1622409301.1396282
121,35982.91955311,35982.91955310,35979.88262561,0.04868303,32520368.59412784,922.03605826,0,36469.61260000,33400.00000000,0,0,1622409301.855276
